glyph_name,ps_name,sort_final
uniA4F2,uniA4F2,2036
uniA4F3,uniA4F3,2037
uniA4F4,uniA4F4,2038
uniA4F5,uniA4F5,2039
uniA4F6,uniA4F6,2040
uniA4F7,uniA4F7,2041
uniA4F8,uniA4F8,2042
uniA4F9,uniA4F9,2043
uniA4FA,uniA4FA,2044
uniA4FB,uniA4FB,2045
uniA4FC,uniA4FC,2046
uniA4FD,uniA4FD,2047
uniA4FE,uniA4FE,2048
uniA4FF,uniA4FF,2049
u11FB0,u11FB0,2101
f_i,f_i,3001
f_l,f_l,3002
uniFE00,uniFE00,4000
uniFE01,uniFE01,4001
uniFE02,uniFE02,4002
uniFE03,uniFE03,4003
uniFE04,uniFE04,4004
uniFE05,uniFE05,4005
uniFE06,uniFE06,4006
uniFE07,uniFE07,4007
uniFE08,uniFE08,4008
uniFE09,uniFE09,4009
uniFE0A,uniFE0A,4010
uniFE0B,uniFE0B,4011
uniFE0C,uniFE0C,4012
uniFE0D,uniFE0D,4013
uniFE0E,uniFE0E,4014
uniFE0F,uniFE0F,4015
uniFEFF,uniFEFF,4016
uniFFFC,uniFFFC,4017
uniFFFD,uniFFFD,4018
